epoch,train_loss,train_acc,test_loss,test_acc,time
ConvNet1,,,,,
1,133.2881019,0.039034606,131.6651638,0.041792169,
2,108.9183749,0.042201662,139.2821189,0.045557229,
3,78.11518461,0.11555033,170.2697425,0.076681727,
4,36.14096566,0.588145427,191.5261235,0.089106426,
5,15.12860057,0.814577039,200.5516718,0.09626004,
6,8.327512851,0.887651057,206.4462928,0.09437751,
7,5.495980481,0.921269912,213.8467643,0.099272088,
8,3.984412075,0.940143505,214.4559666,0.09626004,
9,3.01271899,0.95379875,218.1688832,0.100778112,
10,2.298737922,0.964595921,220.8800491,0.100401606,
11,1.774643767,0.972105878,223.9342289,0.106049197,
12,1.381495519,0.980834592,225.5123297,0.1000251,
13,1.055767242,0.984799849,225.6097135,0.105672691,
14,0.816143505,0.988627781,229.5411003,0.100778112,
15,0.64384379,0.991314199,229.2810166,0.103037149,
16,0.486344235,0.994335347,230.4637318,0.103413655,
17,0.38561858,0.995562689,231.833806,0.105672691,
18,0.294606867,0.997167674,231.9569681,0.101154618,
19,0.231050738,0.997734139,232.3493935,0.107931727,
20,0.178579256,0.998111782,234.3679867,0.105672691,
21,0.142784407,0.998678248,234.8566967,0.108684739,
22,0.117199639,0.999150302,235.8671815,0.108308233,
23,0.094688684,0.999244713,236.4263055,0.111320281,
24,0.075485369,0.999622356,237.3623009,0.110190763,
25,0.062564592,0.999622356,236.9830782,0.108684739,
26,0.052482124,0.999811178,237.8630895,0.109061245,
27,0.047915858,0.999622356,238.5252532,0.109061245,
28,0.04003801,0.999905589,237.8059043,0.110943775,
29,0.036792937,0.999905589,239.0548695,0.111696787,
216.2325873,,,,,
ConvNet2_BatchNorm,,,,,
1,146.778188,0.044604848,148.479467,0.047439759,
2,113.6898914,0.075048064,154.3670821,0.069653614,
3,87.41904732,0.17484036,158.8602644,0.084337349,
4,62.27061522,0.368322576,162.025892,0.098519076,
5,41.15935395,0.58787936,164.2505848,0.111696787,
6,25.90485722,0.750480637,166.9324516,0.112073293,
7,15.9411913,0.854332601,169.5903699,0.120732932,
8,9.682421715,0.913193491,172.4737132,0.126631526,
9,5.864024975,0.949867825,175.8213202,0.12813755,
10,3.576836687,0.971393505,179.2234,0.128514056,
11,2.19650888,0.982817221,183.0807903,0.130145582,
12,1.375921255,0.99027568,185.606187,0.132279116,
13,0.875264755,0.995185045,188.2436816,0.133910643,
14,0.566544677,0.997073263,190.8421477,0.135040161,
15,0.37711176,0.998206193,194.1405367,0.135416667,
16,0.263705074,0.999150302,195.1920532,0.138679719,
17,0.188076162,0.999433535,196.8341252,0.140185743,
18,0.142265231,0.999622356,199.3932655,0.136922691,
19,0.113987499,0.999716767,200.4378841,0.140938755,
20,0.09457802,0.999716767,201.9651776,0.142444779,
21,0.079681384,0.999716767,203.1604114,0.142068273,
22,0.07269551,0.999811178,204.5673044,0.144327309,
23,0.066710431,0.999811178,205.1478752,0.144703815,
24,0.063521926,0.999811178,206.6103197,0.142821285,
25,0.060180001,0.999811178,208.0149323,0.146586345,
26,0.058875364,0.999811178,208.7853809,0.144703815,
27,0.058017963,0.999811178,208.9947446,0.146586345,
28,0.057270067,0.999811178,209.2306713,0.1499749,
29,0.056764916,0.999811178,210.1122251,0.147339357,
243.8117294,,,,,
ConvNet3_ResNet,,,,,
1,138.5797892,9.44E-05,137.6553724,0,
2,136.7890149,0.000755287,137.5211734,0.00188253,
3,134.3153401,0.008685801,138.2691996,0.030120482,
4,131.5788285,0.036820242,140.0764493,0.041415663,
5,129.2551892,0.039652568,142.3248384,0.041415663,
6,127.5390907,0.039652568,144.3803892,0.041415663,
7,126.2552644,0.039695482,146.4514815,0.041415663,
8,125.3203484,0.039738396,148.5701015,0.041415663,
9,124.612003,0.039652568,151.0812199,0.041415663,
10,124.0945032,0.039652568,152.8922112,0.041415663,
11,123.6824481,0.039652568,154.7895445,0.041415663,
12,123.370689,0.039695482,156.4957797,0.041415663,
13,123.0870076,0.039558157,158.172231,0.041415663,
14,122.8874947,0.039652568,159.6843087,0.041415663,
15,122.6863496,0.039746979,160.1441094,0.041415663,
16,122.5400324,0.040030211,161.7431815,0.041415663,
17,122.395218,0.040219033,162.4617185,0.041415663,
18,122.2562327,0.040596677,162.8209369,0.040286145,
19,122.107672,0.040399272,163.6799549,0.040286145,
20,121.9423887,0.041300467,164.3140574,0.040286145,
21,121.8296883,0.041446375,163.7576941,0.040286145,
22,121.6543673,0.04201284,163.8960172,0.040662651,
23,121.5112957,0.041961343,165.1816589,0.039909639,
24,121.3399976,0.041824018,164.846601,0.039909639,
25,121.126829,0.042244576,164.3863214,0.040662651,
26,120.9114726,0.042433397,164.8607982,0.041039157,
27,120.6899373,0.042201662,164.8838951,0.041039157,
28,120.4283585,0.042579305,165.1123112,0.041039157,
29,120.1665165,0.042296073,164.8118291,0.040662651,
193.6501327,,,,,
ConvNet3_ResNet 128 out channels
1,132.70368041300702,0.03672583081570997,131.30186117700782,0.04631024096385542
2,122.00332974667275,0.051170694864048336,135.76662872498295,0.051957831325301206
3,116.92207736335132,0.05895530074155452,138.22458400496518,0.058734939759036146
4,113.92933318262014,0.06429380664652568,141.012781924512,0.06212349397590362
5,111.73049328622501,0.07198400164789893,140.62329593336725,0.07266566265060241
6,109.76209211781666,0.07836102719033233,137.81131794940995,0.08019578313253012
7,108.09756938784504,0.085484756934908,135.36256854505424,0.08697289156626506
8,106.80475396332064,0.09133823125514968,136.3464710511357,0.09262048192771084
